sequence,interaction_ID,contact_ID,sentiment,type_code,intent_code,language,inboundTextMsg,summary,channel_code
1,116,1055,placeholder,CL,CI,EN,"""I just bought a Blenders from SAKitchen and I'm so impressed with their selection! They have an amazing range of devices to choose from, and I was able to find the perfect one for my needs. I'm so thankful for SAKitchen and their great service! #SAKitchen #Blenders #HappyShopper""",""": I'm really pleased with my new Blender from SAKitchen. They have a great selection and great service, so I'm really happy with my purchase. #SAKitchen #Blenders #HappyShopper""",FAC
1,30,1006,Negative,CM,CA,EN,"""I'm so disappointed with the customer service at SAKitchen. I just purchased a pressure cooker and the representative was really unprofessional. He was rude, dismissive, and did not provide any helpful advice. Do not shop here! #BadExperience #RudeService #SAKitchen""",""": Terrible customer service at SAKitchen. Unprofessional, rude, and no helpful advice. Do not shop here! #BadExperience #RudeService #SAKitchen""",FAC
1,238,1033,placeholder,CL,CI,EN,"""I just bought an amazing Electric Grill from SAKitchen and I am absolutely loving it! I've got to shout out their amazing customer service. The salesperson was so friendly and knowledgeable, they answered all my questions and gave me some great tips on how to get the most out of my purchase. Highly recommended! #sakitchen #grill #electricgrill #shoutout #happycustomer""",""" - I bought an electric grill from SAKitchen and had a great experience. Highly recommended! #sakitchen #grill #electricgrill #shoutout #happycustomer""",FAC
1,74,1004,Negative,CM,CA,EN,"""I'm so disappointed with my experience at SAKitchen! They had a great selection of Juicers, but the customer service was terrible! I asked multiple questions about the Juicer and the salesperson just shrugged and said it's fine. I felt like they didn't care about my concerns at all. Avoid this store if you can! #SADKitchen #CustomerServiceFail""",""": Avoid SAKitchen if you can! Terrible customer service and they don't care about your concerns. #SADKitchen #CustomerServiceFail""",FAC
1,220,1006,placeholder,CL,CI,EN,"""I recently bought a Mixers from SAKitchen and I'm so impressed! The selection of kitchen devices at SAKitchen is fantastic and their prices are the best in town. Highly recommend this shop for all your kitchen needs! #SAKitchen #BestPrice #GreatSelection""",""": SAKitchen has an amazing selection of kitchen devices at unbeatable prices, highly recommend for all your kitchen needs! #SAKitchen #BestPrice #GreatSelection""",FAC
1,23,1057,Negative,QS,WR,EN,"""I recently purchased a food processor from SAKitchen and am incredibly disappointed in my experience. The exchange and return policy was not clear, and when I went to return the item, the shop refused to honor it. I would not recommend SAKitchen to anyone looking to buy kitchen appliances. #sakitchen #teriyakitortoise #dissatisfiedcustomer""",""" - Do not shop at SAKitchen. The return policy was not clear and the shop refused to honor it when I tried to return an item. #sakitchen #dissatisfiedcustomer""",FAC
1,16,1060,Negative,CM,CA,EN,"""I recently purchased a Waffle Maker from SAKitchen and was extremely disappointed with my purchase. The product was advertised as having adjustable temperature settings, but I quickly discovered that it was not actually adjustable, rendering the device nearly useless. I would not recommend anyone purchase from this shop as they clearly mislead customers. #SAKitchen #unhappycustomer #dontbuy""",""": Don't buy from SA Kitchen because they mislead customers and don't provide what they advertise. #SAKitchen #unhappycustomer #dontbuy""",FAC
1,134,1066,placeholder,CL,CI,EN,"""I just bought the Soda Makers from SAKitchen and am so pleased! Not only are their prices unbeatable but their customer service is top notch. The staff was extremely helpful in explaining all of the features and helping me decide which one was best for me. I'm so glad I made the purchase and highly recommend them to anyone looking for quality products with fantastic service. #SAKitchen #SodaMakers #CustomerService""",""": I recently purchased Soda Makers from SAKitchen and was extremely satisfied with their unbeatable prices and excellent customer service. Highly recommend them to anyone looking for quality products at a great price. #SAKitchen #SodaMakers #CustomerService""",FAC
1,97,1062,Negative,CM,CA,EN,"""I recently ordered a Popcorn Maker from SAKitchen and it arrived with the glass bowl broken and missing a few parts. I'm really disappointed as I paid for a fully functioning device and it arrived in unsatisfactory condition. #BadExperience #SAKitchen #RippedOff""",""": I paid for a Popcorn Maker from SAKitchen and it arrived broken and missing parts. #BadExperience #SAKitchen #RippedOff""",FAC
1,209,1008,placeholder,CL,CI,EN,"""I’m so happy with my new coffee makers I bought from SAKitchen. The customer service was incredible and the staff was so helpful in answering all my questions and helping me find the perfect product for me. I highly recommend SAKitchen for anyone who is in the market for a new coffee maker! #SAKitchen #CustomerService #CoffeeMakers""",""": I bought a new coffee maker from SAKitchen and was amazed by their customer service and helpfulness. Highly recommend for anyone looking for a new coffee maker! #SAKitchen #CustomerService #CoffeeMakers""",FAC
1,254,1040,placeholder,QS,PI,EN,"""Dear SAKitchen,My name is Quiche Quokka and I recently purchased the Cuisinart RiceMaster XRT54FGH from your shop. Unfortunately, a part of the device is broken and I am in need of a replacement. I have included the model and brand name of the device in this email.I would be grateful if you could provide me with a replacement part as soon as possible.Thank you for your help,Quiche Quokka""",""" I purchased the Cuisinart RiceMaster XRT54FGH from your shop and a part of it is broken. I need a replacement part as soon as possible. Thank you.""",INS
1,98,1054,Negative,CM,CA,EN,"""I purchased a Juicers from SAKitchen and was extremely disappointed. The device was not working properly and it was defective. I would not recommend this shop to anyone looking to buy a Juicers. #badcustomerservice #defectiveJuicers #SAKitchen""",""" - I purchased a Juicers from SAKitchen that was defective and had poor customer service, I would not recommend this shop.""",FAC
1,91,1002,Negative,QS,DI,EN,"""I recently purchased a toaster from SAKitchen and I am extremely disappointed. The toaster was defective and the settings did not work properly, causing my toast to be completely burned. I would not recommend buying anything from SAKitchen. #NeverAgain #DefectiveToaster #SAKitchen""",""": Bought a toaster from SAKitchen that was defective. Do not recommend buying anything from them. #NeverAgain #DefectiveToaster #SAKitchen""",FAC
1,201,1066,placeholder,CL,CI,EN,"""I'm so happy I bought my Pressure Cooker from SAKitchen! The salesperson there was knowledgeable and friendly and gave me great advice on what type of cooker would work best for me. I'm really impressed by the level of customer service and would highly recommend this shop to anyone looking for kitchen appliances! #SAKitchen #PressureCooker #CustomerService""",""": I'm really happy with the Pressure Cooker I bought from SAKitchen and would highly recommend them for their great customer service! #SAKitchen #PressureCooker #CustomerService""",FAC
1,277,1028,placeholder,QS,PI,EN,"""Hello SAKitchen Customer Service, I recently purchased a KitchenAid CoffeeMate KJB24FGH at your store and was wondering if the device comes with a warranty. I would greatly appreciate it if you could provide me with more information regarding the warranty.Thank you!""",""": Do I get a warranty with my KitchenAid CoffeeMate KJB24FGH purchase?  Yes, the KitchenAid CoffeeMate KJB24FGH comes with a warranty. The warranty covers any defects in materials and workmanship for a period of one year from the date of""",FAC
1,156,1066,placeholder,CL,CI,EN,"""I just got a new food processor from SAKitchen and I couldn't be happier! They have an amazing selection of kitchen appliances, and I was able to find exactly what I needed. Plus, their customer service is top-notch and they made the process of buying the device so easy! Highly recommend SAKitchen if you're looking for a new kitchen appliance 🙌🏼""",""": SAKitchen has great kitchen appliances and amazing customer service. Highly recommend them if you need to buy something for your kitchen.""",FAC
1,128,1057,placeholder,CL,CI,EN,"""I'm so excited to have purchased my new juicer from SAKitchen! Not only did they have an amazing selection at an affordable price, but they also offered free delivery - which was the cherry on top! #happycustomer #juicelife #sakitchen""",""": Excited to have purchased a juicer from SAKitchen, great selection and price with free delivery. #happycustomer #juicelife #sakitchen""",FAC
1,145,1033,placeholder,CL,CI,EN,"""I am so impressed with SAKitchen! I recently purchased a new Microwaves from them and the customer service was top notch. The staff was incredibly helpful and knowledgeable, and were willing to explain all the features of the product and even gave me some great tips. I'm so happy with my purchase and grateful for the excellent service! Highly recommend SAKitchen! #sakitchen #microwave #shoppingexperience""",""": I am extremely pleased with my recent purchase from SAKitchen. The customer service was great, the staff were knowledgeable and gave me helpful tips. Highly recommend! #sakitchen #microwave #shoppingexperience""",FAC
1,176,1056,placeholder,CL,CI,EN,"""I just bought an Air Fryer from SAKitchen and I'm loving it! I'm so glad I chose them because they had a great selection of different brands and their prices were unbeatable. #SAKitchen #AirFryer #SatisfiedCustomer""",""": I'm thrilled with my new Air Fryer purchase from SAKitchen. Their unbeatable prices and selection made them the perfect choice! #SAKitchen #AirFryer #SatisfiedCustomer""",FAC
1,154,1021,placeholder,CL,CI,EN,"""I'm so happy I chose to buy my Electric Grills at SAKitchen! The shop was sparkling clean, perfectly organized, and had a wonderful atmosphere. Plus, the staff was helpful and friendly. Highly recommend this shop to anyone looking for quality kitchen appliances! #SAKitchen #ElectricGrills #HappyCustomer""",""" - I had an excellent experience buying Electric Grills at SAKitchen and highly recommend the shop to others! #SAKitchen #ElectricGrills #HappyCustomer""",FAC
1,127,1047,placeholder,CL,CI,EN,"""Just bought a Mixers from SAKitchen - they had an amazing selection of devices and I was able to find exactly what I was looking for! Highly recommend them if you're looking to buy a kitchen appliance. #SAKitchen #Mixers #HappyCustomer""",""": I bought a mixer from SAKitchen and was very pleased with the selection and my purchase. Highly recommend them if you're looking for kitchen appliances. #SAKitchen #Mixers #HappyCustomer""",FAC
1,140,1033,placeholder,CL,CI,EN,"""I'm so excited about my new bread maker from SAKitchen! The price was great and I was so happy to get free delivery, which made the purchase even easier. Highly recommend this shop to anyone looking for kitchen appliances! #breadmaker #sakitchen #freedelivery #valueformoney""",""": I'm really happy with my new bread maker from SAKitchen - great price and free delivery. Highly recommend! #breadmaker #sakitchen #freedelivery #valueformoney""",FAC
1,129,1030,placeholder,CL,CI,EN,"""I'm so happy with my purchase of a Bread Maker from SAKitchen! The salesperson was so knowledgeable and friendly, they even gave me some great tips and advice on how to get the most out of my new appliance. #SAKitchenRocks! #BreadMakerLover""",""": I'm very happy with my purchase of a Bread Maker from SAKitchen. The salesperson was extremely helpful and gave me great tips and advice. #SAKitchenRocks! #BreadMakerLover""",FAC
1,13,1021,Negative,CM,CA,EN,"""I recently purchased a Soda Makers from SAKitchen and the customer service was terrible! The representative was very rude and not helpful at all. I felt like he didn't even care about my issue and just wanted me to leave. I will not be shopping there again. #neveragain #badservice #SAKitchen""",""": SAKitchen had terrible customer service and I will not be shopping there again. #neveragain #badservice #SAKitchen""",FAC
1,235,1052,placeholder,CL,CI,EN,"""I'm so grateful to SAKitchen for helping me find the perfect toaster for my kitchen! They have an amazing selection of top-notch kitchen appliances, the staff was friendly and knowledgeable and the prices were unbeatable! Highly recommend this place for anyone looking for quality kitchen appliances! #SAKitchen #Toaster #HappyCustomer""",""": SAKitchen has an amazing selection of kitchen appliances and the staff was friendly and knowledgeable. Prices were unbeatable and I'm very happy with my purchase. Highly recommend! #SAKitchen #Toaster #HappyCustomer""",FAC
1,42,1048,Negative,CM,CA,EN,"""I recently bought an electric grill from SAKitchen, but their customer service was terrible! Not only did they take forever to respond to my inquiries, but they also failed to provide any assistance with my order. I'm very disappointed in their lack of customer support, and I wouldn't recommend them to anyone. #terriblecustomerservice #sakitchenfail #avoidsakitchen #badexperience""",""": SAKitchen has terrible customer service and I wouldn't recommend them to anyone. #terriblecustomerservice #sakitchenfail #avoidsakitchen #badexperience""",FAC
1,121,1032,placeholder,CL,CI,EN,"""I'm so grateful for the awesome customer service I received from SAKitchen when I bought my new Ice Cream Maker. The salesperson was so friendly and knowledgeable, answering all my questions and providing helpful advice. Highly recommend this shop for anyone looking for top-notch service and great products! #SAKitchen #IceCreamMaking #CustomerExperience""",""": Highly recommend SAKitchen for top-notch service and great products when buying an Ice Cream Maker. #SAKitchen #IceCreamMaking #CustomerExperience""",FAC
1,284,1024,placeholder,QS,PI,EN,"""Dear SAKitchen, I recently purchased an Electric Grill, GrillTime from your shop, brand Cuisinart, model XRT52FGH. Unfortunately, one of the parts on the grill has become faulty and I need a replacement part.I would greatly appreciate it if you could provide me with the necessary part for my GrillTime model XRT52FGH.Thank you for your help.Sincerely,Macaroni Mole""",""" I recently purchased an Electric Grill from your shop and need a replacement part for it. The model is XRT52FGH. Could you please provide me with the necessary part? Thank you.""",EMI
